character,pinyin,part_of_speech,definition
杠,gang4,6,(1) 抬重物的粗棍。亦指门闩。如:木杠;铁杠;门杠;杠房头(杠房的把头);杠架(抬尸体用的床) (2) 锻炼身体用的一种器械。如:高低杠;杠铃;双杠;单杠 (3) 批改文字或阅读中作为标记所画的粗直线。如:书上画了好多杠杠;在稿子上扛了许多杠子 (4) 机床上带螺纹的棍状零件。如:丝杠
杠,gang4,10,(1) 把不通的文字、错字或多余的字用直线划去或标出。如:他把作文中的许多词句都杠掉了 (2) 在布、皮或石头上磨擦使锋利些。如:把刀或剃刀杠一下;杠刀 (3) 专横自是，好与人争。如:好抬杠;他又跟人杠上了
追,zhui1,10,(1) (本义:追赶) (2) 同本义(使追赶对象回来) 追，逐也。以比追胥。。注: “逐寇也。” 公追戎于 济 西。驰车充国者，追寇之马也。追亡逐北。汉 · 贾谊 《过秦论》 壶子 曰: “追之!” 列子 追之不及。公使 阳处 父追之。汉 主追 韩信 ，苍生起 谢安。唐 · 杜甫 《宴王使君宅题二首》 闻追 豫州。 (3) 又 追 操 至 南郡。追购又急。宋 · 文天祥 《<指南录>后序》 (4) 又如:穷寇勿追;穷追;猛追;追亡(追逐败亡的人) (5) 追求;追取 库藏粮饷，都是民脂民膏，你只顾侵来肥己买笑追欢，败坏国家许多大事。 (6) 又如:追摄(追取);追欠(追缴亏空的款子、拖欠的赋税等);追欢(求欢) (7) 赶得上;比配 除两税外，不许差役追拢。 (8) 又如:追匹(比配;匹配);追配(与前人相匹敌，媲美);追扰(追比侵扰) (9) 追随，紧紧跟随某人 追，隨也。其言有十二月七十有二候，逐日步气，以追寒暑之序，类其物宜而逆为之备。唐 · 柳宗元 《时令论》 追于宇下。 (10) 又如:追陶仿谢(追随、仿效陶渊明、谢灵运去过隐居生活) (11) 回溯;追念;召回 追亨朝亨。。注: “犹追祭迁庙之主。” 盖追先帝。诸葛亮 《出师表》 (12) 又 深追先帝。因作 《谪九年赋》 以自广，是岁腊月，诏追。刘禹锡 《问天钧赋序》 (13) 又如:追斋理七(追奠死者);追摄(追念记取);追叹(追溯往事而感叹);追慕(追念仰慕);追摧(追念悲伤);追恨(追溯往事而悔恨) (14) 补救 弗慎厥德，虽悔可追? 是谓追之。。注: “犹補也。” 悟以往之不谏，知来者之可追。晋 · 陶渊明 《归去来兮辞》 追受其牒。明 · 高启 《书博鸡者事》 (15) 又如:追像(补救);追补(特加补救以往的不足或缺陷);追救(补救);追书(补记) (16) 追寻 以骥之可以追利避害也。 (17) 又如:追迹(追寻遗迹);追掩(追踪袭击);追骑(追寻侦察人、事的真象) (18) 追究 苟有不晓之问，追难 孔子 ，何伤于义? (19) 又如:追比(定期追究;限期完成);追劾(追究告发以前在职时所犯的罪过) (20) 送别;告别 薄言追之，左右绥之。 (21) 又如:追赠(帝王在臣子死后送给他的官爵或称号);追酒(饯行);追饯(追送饯行) (22) 收缴 拆了他的山门，毁了他的佛像，追了他的度牒，不放他回乡。 (23) 催逼 妾家非豪门，官赋日相追。 (24) 又如:追敛(催交租税);追征(催迫征收);追租(催交租税)
楂,zha1,6,(1) 果木名 ，指蔷薇科山楂、野山楂一类的植物。果实红色、味酸，可食，也可入药 云山得伴松桧老，霜雪自困楂梨粗。宋 · 苏轼 《四月十一日初食荔枝》
夯,ben4,5,(1) 同“笨”。笨拙 小儿蠢夯，自幼失学。又如:夯汉(干粗笨体力活的人);夯货(笨货;蠢人)
夯,hang1,6,(1) (会意。从大，从力。表示劳动时需要出大气力。本义:劳动中使劲时发出的呼声。引申筑实地基的工具)同引申义。如:用夯筑堤
夯,hang1,10,(1) 用重物把地或其他粒状材料砸密实。如:把土夯实;夯硪(砸压) (2) 〈方〉∶用力猛击。如:举起拳头向下夯 (3) 用力扛东西 夯，大用力以肩举物。自家闺阁中物，不肯放下，反累及他人担夯，无乃大劳乎! 明 · 净善集 《禅林宝训》 (4) 捞取。如:夯市(纵兵大闹街市) (5) 充胀，胀满 有口难言，气夯破胸脯。元 · 王实甫 《西厢记》
化,hua4,10,(1) (古字为 “匕”。会意。甲骨文，从二人，象二人相倒背之形，一正一反，以示变化。本义:变化，改变) (2) 同本义 匕，变也。。徐灏 曰: “匕化古今字。” 知变化之道。。虞 注: “在阳称变，在阴称化，四时变化。” 荀 注: “春夏为变，秋冬为化，坤化为物。” 和故百物化焉。若欲其化也。。注: “犹生也。” 状态而实无别而为异者谓之化。。注: “化者改旧形之名。” 胜败若化。。注: “言转化无常也。” 因时而化。终不能化。身化促织。而骨化石。清 · 林觉民 《与妻书》 (3) 又如:化现(变化);化心(改变其心性);化先(四时变化之始);化治(变化治理) (4) 教化 化，教行也。。段注: “上匕之而下从匕谓之化。” 以礼乐合天地之化。渐也，顺也，靡也，久也，服也，羽也，谓之化。神则能化矣。变则化。淳淳乎纯谨畏化。。注: “教也。” 明明求仁义，常恐不能化民者，卿大夫意也。杨恽 《报孙会宗书》 (5) 又如:化声(因推行教化而有声誉);化行(教化播扬于某地);化诲(开导教诲);化雨(比喻善于施教，犹如雨水滋润植物一样);化作(化育生成);化物(化育外物);化胎(化育成胎);化气(化育之气);化光(德化光大);化向(受德化而归顺);化流(德化传布) (6) 感化;转变人心 正月实来化我也。。注: “行过无礼谓之化。” 是以圣王制世御俗，独化于陶钧之上。邹阳 《狱中梁王书》 (7) 又如:化俗(化民成俗，改善习俗);化物(感化外物);化服(感化顺服);化盗(感化盗贼使为良民) (8) 募化 你去那里化些斋吃。 (9) 又如:化饭(化斋);化布施(即化缘。佛教用语。募化钱粮);化钱(募化钱财);化斋(僧道向人募化斋饭) (10) 用火烧。如:化人场(化人厂。即火葬场);火化 (11) 消化;领会，融会贯通 学而不化，非学也。杨万里 《庸言》 (12) 又如:化食;食古不化 (13) 死 同物既无虑，化去不复悔。晋 · 陶渊明 《读山海经》 惟君平昔，聪明绝人，今虽化去，夫岂无物! 唐 · 刘禹锡 《祭柳员外文》 (14) 消除，去掉 以化腥臊。
化,hua4,6,(1) 习俗，风气 伤化败俗，大乱之道也。 (2) 造化。自然的功能 修短随化。王羲之 《兰亭集序》 (3) 又如:化力(造化之力);化元(造化的本原);化功(造化之功);化儿(造化小儿) (4) 化学。如:数理化
化,hua4,14,(1) 使成为，使变成 用在名词或形容词后面，以构成动词。如:绿化;电气化;现代化
曾,ceng2,2,(1) (形声。从八，从曰。本义未明。副词。用来加强语气) (2) 过去发生过表示有过某些行为或情况 江南好，风景旧曾谙。唐 · 白居易 《忆江南》 斜阳草树，寻常巷陌，人道寄奴曾住。宋 · 辛弃疾 《永遇乐·京口北固亭怀古》 又如:曾不(不曾);几年前我曾见过他一面;我曾去过杜坪乡 (3) 已经 表示动作行为已经进行。如:似曾相识
曾,ceng2,5,(1) 通“层”。重叠 有虞之王，烧曾薮，斩群害，以为民利。大厦曾架，拟于昆仑。荡胸生曾云。杜甫 《望岳》
曾,zeng1,5,(1) 重。指中间隔两代的亲属关系 自此而曾焉。清 · 洪亮吉 《治平篇》 曾元时不分。计高曾之时。视高曾之时。高曾时为一户者。又如:曾翁(称他人的曾祖父);曾玄(曾孙和玄孙) (2) 谦词。犹“末” 曾臣 彪 将率诸侯以讨焉。又如:曾臣(末臣) (3) 高举的样子 曾逝万仞之上。刘安 《淮南子·览冥》
曾,zeng1,10,(1) “增”的本字。增加 所以动心忍性，曾益其所不能。曾欷歔余郁邑兮。又如:曾思(反复思考);曾折(曾挠。屈曲貌);曾益(增加，增强);曾巢(在高物上架巢);曾逝(高飞远去)
曾,zeng1,2,(1) 乃，竟 曾不若孀妻弱子。曾不能疾走。曾不惨然。清 · 黄宗羲 《原君》 长曾不盈寸。明 · 魏学 《核舟记》 以残年余力，曾不能毁山之一毛，其如土石何? (2) 表示相承，相当于“则”、“是”、“就” 我曾无闾里之闻，穷巷之知者何? (3) 表示疑问，相当于“何”、“怎”。如:曾奈(怎奈)
曾,zeng1,6,(1) 姓
行,hang2,6,(1) (象形。本义:道路) (2) 同本义 行，道也。行有死人。遵彼微行。又如:行苇(路旁芦苇);行阡(道路);行神(路神);行程(路程);行街(大路) (3) 直排为行，横排为列 左右陈行，戒我师旅。凌余阵兮躐余行。奉读书，五行并下。 (4) 军队编制，二十五人为一行 郑伯 使卒出貑，行出犬鸡。 (5) 队伍，军队 陈胜 、 吴广 皆次当 行。必能使行阵和睦。诸葛亮 《出师表》 又如:行阵(军队行列);行阵和睦(指军队协调团结);行首(军队的行列);行阵(行伍。旧指军队) (6) 行业。原指工商业中的类别，后亦泛指职业 皆次当行。又如:干装修水管这一行;你干哪一行?;行计(行业);行户(行业，妓院;商户) (7) 营业机构;商行。如:行铺(商行店铺);行货(货物;特指坏货，劣货;隐语指男性生殖器);行户(宋以后称加入商行的商户) (8) 排行。如:你行几，我行二;行第(排行的次序) (9) 辈分 丈人行也。又如:行次 (10) 引申表示多数。如:和尚行;僧尼行
行,hang2,10,(1) 连续贯穿 以次贯行，固执无违。 (2) 用长的针脚将棉衣等活计连缀起来为行。也作“绗”。如:行棉袄;行棉被
行,hang2,1,(1) 这里 表示处所 这小贱人不来我行回话。 (2) 那里 表示处所 最苦梦魂，今宵不到伊行。周邦彦 《风流子》
行,xing2,0,(1) 走：行走。步行。旅行。行踪。行百里者半九十。行云流水（喻自然不拘泥）。行远自迩。 (2) 出外时用的：行装。行箧。行李。 (3) 流通，传递：行销。风行一时。 (4) 从事：进行。 (5) 流动性的，临时性的：行商。行营。 (6) 足以表示品质的举止行动：行径。品行。言行。操行。行成于思。 (7) 实际地做：行礼。行医。行文。 (8) 可以：不学习不行。 (9) 能干：你真行。 (10) 将要：行将毕业。 (11) 古代指物质的基本元素：五行（“金”、“木”、“水”、“火”、“土”）。 (12) 古诗的一种体裁：长歌行。 (13) 汉字字体的一种：行书。 (14) 姓。
扛,gang1,10,(1) 用两手举重物 扛，横关对举也。。字亦作掆. 两人对举为扛。注 翘关扛鼎。左思 《吴都赋》 扛，举也。力能扛鼎，才气过人。又如:扛鼎(举鼎);扛舁(举抬) (2) 两人或两人以上共抬一物。如:四个兵把他扛到驴背上;扛帮(聚合众人结成帮派);扛哄(合伙哄骗) (3) 磕;碰。如:吃倒好吃，只怕有些扛牙;扛了扛团长的肩膀 (4) 阻拦。如:八戒扛住行者说… (5) 横架 这时城门已经上了大铁锁，扛了大木闩。李连璧 《古城怒火》 (6) 顶撞;抬杠 呆子慌了，往山坡下筑了有三尺深，下面都是石脚石根，扛住钯齿。
扛,kang2,10,(1) (形声。从手，工声。( gāng )本义:两手对举以托重物) (2) 用肩部携带 役使扛炮。又如:码头装卸工人的肩上扛着大包;扛荷(肩抬);扛抬(共同用手或肩膀搬东西);扛枪;扛锄头 (3) 用言语顶撞 你讨得头钱，分与那个一分儿使也怎的?交我扛了两句，走出来。 (4) 做长工。如:扛整活(做长工，干成人的活)
倒,dao3,10,(1) (形声。从人，到声。本义:倒下) (2) 同本义 对此欲倒东南倾。唐 · 李白 《梦游天姥吟留别》 又如:倒头(躺下睡觉;死亡);倒路(亦路倒。死在路上);倒卓(倒栽);倒断(山倒锁断);倒指(屈指，屈指计算);倒路死(诅咒人死在路上);倒床(卧倒在床上) (3) 失败，败落 于今日卿等门户倒矣。又如:倒灶(倒霉);倒扁儿(向人挪借钱财或货以应急需);倒满(倒霉;晦气) (4) 导致法律上的破产。如:银行倒了;倒账(倒闭，破产);倒盆(倒闭);倒风(大批倒闭) (5) 移动;替换。如:颠倒是非;颠倒黑白;颠三倒四;倾箱倒箧;排山倒海;倒票(倒换银票);倒替(轮换);倒包(冒名顶替) (6) 停止;中断。如:倒断(倒顿。休止，间断，完结;决断;了断;清楚) (7) 坍塌;垮台 中间力拉崩倒之声。又如: 倒口子(决口);倒溃(倒塌崩溃);倒坏(倒塌崩坏) (8) 将货物或商店企业作价给人 我东头街上 谈 家当铺折了本，要倒于人。又如:倒盘(把全店存货作价盘售);倒本(赚回本钱)
倒,dao4,10,(1) 上下、前后颠倒 倒筴侧龟于君前。倒影江中。宋 · 陆游 《过小孤山大孤山》 又如:倒序(颠倒次序);倒用印(将印信颠倒使用);倒错(颠倒错乱);倒景(倒影);倒三不着两(行事无准则，颠三倒四) (2) 向相反方向移动 酒酣渴月使倒行。李贺 《秦王饮酒》 又如:倒车;倒回(退却;倒退);倒兵(掉转武器向己方攻击);倒仰(仰面跌倒);倒跟脚(指脚跟向后突出) (3) 将容器倾斜或反转，使里面的东西出来 倒杯开水 倒垃圾 又如:倒熟话(重复老一套的话);倒囷(尽出仓里的贮米);倒垃圾 (4) 浇铸。如: 倒一锭银子; 倒铧叶子
倒,dao4,2,(1) 表示跟一般情理相反 不曾与天下分忧，倒来苦害俺这里百姓。又如:倒不得(岂肯);妹妹倒比姐姐高 (2) 表示跟事实相反。如:你说得倒简单，你试试看 (3) 表示出乎意料。如:有这样的事?我倒要听听(表示不相信) (4) 表示让步。前一小句与后一小句之间常用“就是、可是、但是、不过”等呼应。如:质量倒挺好，就是价钱贵点儿 (5) 用于追问或催促。如:你倒说说看
褚,chu3,6,(1) 姓
褚,zhu3,10,(1) 把丝棉装入衣服 褚，一曰装衣。置荀罃褚中。以锦装衣曰褚。注 褚，装衣也。 (2) 储藏。通 “贮” 取我衣冠而褚之。
褚,zhu3,6,(1) 丝绵衣服 上褚五十衣，中褚三十衣，下褚二十衣遗王。 (2) 又如:褚衣(绵衣) (3) 囊，袋 有商人置诸褚中，展转入东林。 (4) 又如:褚橐(褚囊。盛书的袋子) (5) 古代棺饰名。如:褚堂(停尸场;灵堂);褚幕(古代棺饰名，覆盖在棺材上面的布幕)
蕃,bo1,0,(1) 吐蕃( Tǔbō ) 我国古代少数民族
蕃,fan1,0,(1) 〈名，动〉 (2) 通“藩” (3) 篱落;屏障 四国于蕃，四方于宣。夫蕃篱之鶠，岂能与之料天地之高哉? 宋玉 《对楚王问》 (4) 又如:蕃蔽(屏障);蕃篱(篱笆。引申为屏障) (5) 藩屏;捍卫 故封建亲戚以蕃屏周。 (6) 又如:蕃杆(藩屏;护卫);蕃辅(捍卫辅助);蕃宣(本指藩篱与垣墙。引申为藩屏护卫);蕃卫(捍卫) (7) 封建王朝分封的侯国。如:蕃王(封建王朝分封的侯王;蕃岳古代对诸侯王的代称) (8) 颊侧 蕃者，颊侧也。。张志聪 注:“蕃蔽在外。” (9) 通“番” (10) 周代谓九州之外的夷服、镇服、蕃服。后用以泛指域外或外族。如:蕃人(我国古代对外族或异国人的泛称);蕃舶(海外入境的船舶);蕃国(周代指夷服、镇服、蕃服。建于九州以外的国家) (11) 轮流更替。如:蕃匠(即番匠。唐代轮班到官府工场服役的工匠);蕃变(变迁;变化)
甬,yong3,6,(1) (象形。金文“甬”象鐘形，上象钟悬，下象钟形。①本义:乐钟。②钟柄) (2) 古代钟柄名 甬本是钟，乃后人用字变迁，缩小其义为钟柄。杨树达 《积微居小学述林》 (3) 古代两旁有墙垣遮蔽的通道。如:甬路(楼房之间有篷顶的通道;院落中的砖石路) (4) 仆役;佣工。如:甬官(古代掌管徭役的官) (5) 甬江。在浙江，流过宁波 (6) 宁波市的别称。因境内有甬江而得名 (7) 通“桶”古斗斛一类量器 谷口铜甬，容十斗，重四十斤。
冲,chong1,10,(1) (形声。从水，中声。本义:向上涌流) (2) 同本义 冲溶沅瀁。木华 《海赋》 (3) 直上 又如:冲天(直上天空);冲汉(直上霄汉) (4) 以水、酒等浇注调制。如:冲鸡蛋;用酒冲服;冲茶 (5) 收支账目互相抵消，或两户应支付的款项互相抵消 幸而后手里渐渐翻过来了，除了冲账的，反赢了好些 又如:红字冲销 (6) 使曝光过的照相材料显影。如:冲胶卷 (7) 用水或其他液体冲洗。如:把盘子冲一冲;冲厕所;秧苗给大水冲了
冲,chong1,5,(1) 深远。如:冲迈(高远);冲音(精深玄妙之言) (2) 通“盅”。空虚 又如:冲室(虚室，空室);冲寞(虚寂恬静) (3) 平和;谦虚 又如:冲融(融和充实);冲和(性情谦虚和平) (4) 淡泊。如:冲虚(淡泊虚静);冲衿(谦和淡泊的胸襟);冲静(恬静淡泊) (5) 通“僮(童)”。幼小 又如:冲弱(年幼，幼稚);冲年(幼年);冲幼(年幼);冲眇(幼小)
冲,chong1,6,(1) (形声。从行，重声。“行”，意思是路。本义:交通要道) (2) 同本义 及冲，以戈击之。。注:“要道。” 冲风起兮水横波。。注:“隧也。” 太冲绝。。注;“肝脉气也。” 又如:冲衢(交通要道);冲途(要道;大路);冲境(冲要之地;交通发达地区) (3) 古战车名。用以攻城 与尔临冲。主人焚冲。折冲万里。隆冲以攻。又如:冲车(古兵车名。用以冲城攻坚);冲隆(古兵车) (4) 山区的平地。如:翻过山有一个很大的冲 (5) ∶一个天体与另一个天体在天空中的相反方向或距角等于180度的一种行星动态。如:大冲;冲日(外行星运行到与地球太阳成一直线且与太阳距角等于180°)
冲,chong1,10,(1) 冲击;冲撞 稍近，益狎，荡倚冲冒。柳宗元 《黔之驴》 怒发上冲冠。又如:冲激(冒犯);冲打(冲击攻打);冲阵(冲击敌方战阵) (2) 直朝某一方向而去。如:冲蒙(奔驰于草丛);冲斥(犹充斥) (3) 破除;毁坏。如:冲波(冲破波浪);冲溢(溃决泛滥) (4) 冒。多指不顾危险或恶劣环境而向前行进。如:冲雨(冒雨);冲炎(冒着炎热) (5) 动。如:冲心(触动心境;动心);冲心钱(数目足以引人动心的钱) (6) 冲刷;灌注。如:冲注(水流冲击)
冲,chong4,5,(1) 猛劲大。如:有股冲劲儿;水流得真冲 (2) 气味浓烈刺鼻。如:酒味儿冲
冲,chong4,10,(1) 用冲床进行金属加工。如:冲床;冲模
冲,chong4,9,(1) 对着;向。如:冲着(对着，向着);大门冲北开 (2) 凭;根据。如:就冲着他，我也不得不出面解围
泊,bo2,10,(1) (形声。从水，白声。本义:停船) (2) 同本义 西有鸾冈，洪崖先生乘鸾所憩泊也。晚泊沙夹，距小孤一里。宋 · 陆游 《过小孤山大孤山》 士大夫终不肯以小舟夜泊绝壁之下。宋 · 苏 轼 《石钟山记》 (3) 又如:泊船;泊舟(船停泊靠岸);泊步(埠头，码头);泊主(船家);船泊港外 (4) 栖止，停留 独泊灵台侧。唐 · 陈子昂 《古意》 (5) 又如:漂泊
泊,bo2,5,(1) 淡泊;恬静(心地安然，不为名利所动) 我独泊兮其未兆，如婴儿之未孩。非淡泊无以明志，非宁静无以致远。诸葛亮 《诫子书》 (2) 又如:淡泊(不追求名利);泊如(水宽大的样子，恬淡无欲) (3) 水白貌。如:泊柏(水波，浪花) (4) 通 “薄”。轻微;不厚道 禀气有厚泊，故性有善恶也。 (5) 又如:泊礼(薄礼);酒之厚泊
泊,po1,6,(1) 湖泽。如:梁山泊;罗布泊;湖泊;血泊;泊子(湖泊);泊洑(沼泽地) (2) 粘 度的厘米·克·秒绝对单位，它等于1达因-秒每平方厘米
囱,cong1,6,(1) 灶突。今称烟囱 囱，通孔也，灶突也。
崴,wai3,5,(1) 山谷不平的样子。如:崴嵬(高低不平的样子);崴魁(不平的样子)
崴,wai3,10,(1) 扭伤。如:把脚崴了
崴,wai3,6,(1) 〈方〉∶称山、水弯曲的地方。多用于地名。如:海参崴
崴,wei1,0,(1) 〔崴嵬〕山高的样子。
系,ji4,10,(1) 拴;系结 忽风云腾涌，急系缆。陆游 《过小孤山大孤山》 系之苇召。又如:系腰(腰带);系鞋带;把晾衣服绳系在树上;她的头发上系了一根红缎带;腰上系了一根紫色的…腰带;把卡片系在包上;把衣服扣系上 (2) 约束;羁绊 愚士系俗兮，窘若囚拘。汉 · 贾谊 《鹏鸟赋》 (3) 拘囚 累及好人，无故系狱。元 · 关汉卿 《裴度还带》 (4) 留意;挂念。如:系人情思 (5) 牵涉;关连 穷通各问命，不系才不才。唐 · 白居易 《谕友》
系,xi4,10,(1) (“系”、“係”、“繫”三字的意义界限不清楚，故往往通用，且经传多以繫为之，只有世系的意义，只用“系”字。会意。甲骨文字形上面是“爪”，下面是“丝”。丝悬于掌中而下垂。本义:悬，挂) (2) 同本义 以羽为巢，而编之以发，系之苇苕。又如:系璧(系在带间的小玉璧);系滞(悬挂弃置) (3) 拴;绑 繫，约束也。繫，系也。释文 以九两繫邦国之民。。注:“繫，联缀也。” 子婴 即系颈以组，白马素车，奉天子玺符，降轵道旁。又如:系足(借指婚姻);系裹(穿戴衣帽);系舟(指船靠岸。也作“系船”) (4) 拘囚;关进牢狱 收系张胜。老母系保宫。利系者之多。清 · 方苞 《狱中杂记》 又如:拘系(拘禁);系縻(束缚) (5) 牵挂 可怜赫赫 丹阳 尹，数颗槟榔尚系怀。宋 · 陆游 《读史》 又如:系怀(心中牵挂某事或某人) (6) 依附 古者诸侯之有女子也，所以苞苴玩弄系援于大国也。汉 · 刘向 《列女传》 又如:系援(依附求助);系象(寄托意象);系命(犹言寄托性命) (7) 关联 足有系帛书。东汉 · 班固 《汉书·李广苏建传》 又如:系亲(联姻，结亲);系络(联结);系联(联系);系属(联缀) 〈名〉 系物的带、绳 武冠，俗谓之大冠，环缨无蕤，以青系为绲。
系,xi4,6,(1) 世系;系统 桑道茂 者，寒人，失其系望。又如:系望(世系郡望);系孙(指后代子孙);系族(一姓世代相传的序列);系录(谱牒。记录一姓世系的书);系世(记载世系的谱牒);谱系;管系;层系;坐标系;星系;银河系;太阳系;奥陶系;碳系;志留系 (2) 某些学科中分类的名称。如:汉藏语系;印欧语系 (3) 高等学校按专业性质设置的教学行政单位。如:数学系;历史系 (4) 地质学名词。地层系统分类的第二级，小于界，相当于地质年代的纪 系 燕王 父子。宋 · 欧阳修 《新五代史·伶官传·序》 (5) 姓。楚有系益
系,xi4,10,(1) 束缚;捆绑 系，繫也。系，连也。系，繫也，相联繫也。系曰。。旧注:“系，繫也，言繫一赋之前意也。” 系隆我 汉。。注:“犹繫也。” 係，繫束也。係妻孥。注:“係，繫也。” 係马舌。。又注:“係，缚也。缚马舌恐有声也。” 係累其子弟。。注:“係累，犹缚结也。” 百越 之君，俯首係颈，委命下吏。贾谊 《过秦论》 又如:系累(束缚);系锁(用锁索捆绑);系颈(把绳套在颈上，表示伏罪投降) (2) 继续;接续 汎海而至，风波艰阻，沈溺相係。邓 、 唐 、 蔡 、 陈 ，驰捷系踵。宋 · 洪迈 《容斋四笔·会合联句》 又如:系进(接续进发);系道(相继于道，络绎不绝) (3) 维系;关联 某命系于将军，惟将军怜之。又如:系属(联系，关联);系心(犹归心;挂心) (4) 是。如:纯系虚构;系是(是，乃是)
閤,ge2,6,(1) (形声。从门，合声。本义:旁门，小门) (2) 同本义 閤，门旁户也。宫中之门谓之闱，其小者谓之闺，小闺谓之閤。开东閤。。注: “小门也。” 按，或言东閤，或言南閤西閤，唐时御便殿曰入閤，谓立仪于前殿，唤仗则自东西閤入也。凡上书言閤下者，犹言门下，谦不敢称正门之下，谓旁之下也，犹言下执事也。升降秘阁。。注: “即尚书省也。其字误作止屏之阁。今内阁阁下，字皆误作阁。” (3) 又如:閤门(古代宫殿的侧门);閤职(宋代属于閤门的官职) (4) 通 “阁” (5) 中央官署名。内阁之略称 于是府丞诣閤， 博 乃见丞掾。 (6) 又如:閤长(唐宋时称呼中书省等官署的主事官);閤署(官署) (7) 楼阁 妆閤伎楼何寂寞，柳似舞腰池似镜。白居易 《两朱阁诗》 (8) 古代宾馆 千金弃不惜，宾客常满閤。宋 · 王安石 《韩持国从富并州辟》 (9) 内室;卧室 兰房椒閤夜方开。梁元帝 《乌栖曲》 小閤重衾不怕寒。白居易 《重题》 (10) 又如:閤正(对他人妻子的敬称);閤分(宋代对妃嫔的称呼) (11) 姓
阏,e4,10,(1) 阻塞 阏，遮拥也。从门，於声。 (2) 又如:阏塞(壅塞，阻塞);阏往(阻止放逸的意念和行为);阏绝(阻断，杜绝);阏积(阻滞积聚) (3) 遏止;抑制 民气郁阏而滞著。 (4) 又如:阏制(遏制);阏密(禁绝);阏抑(抑制)
阏,e4,6,(1) 门扇;闸板 开通沟渎，起水门提阏，凡数十处。
阏,yan1,0,(1) 〔阏氏〕汉代匈奴称君主的正妻。
徼,jiao3,10,(1) 通“侥”。贪求不止 寡君愿徼福于 周公 鲁公。患其徼一时之权。又如:徼伺(窥视希冀);徼冀(希求);徼觊(非分希冀);徼进(犹侥进。非分求进) (2) 通“缴”。纠缠，徼绕不明。如:徼绕(缠绕;错综)
徼,jiao4,10,(1) 巡查 几为巡徼所陵迫死。文天祥 《指南录后序》 又如:徼循(巡查);徼道(巡逻警戒的道路);徼候(巡察守候);徼捕(巡捕) (2) 激发，激励 今王诚发士卒佐之以徼其志，重宝以说其心，卑辞以尊其礼，其伐 齐 必也。
徼,jiao4,6,(1) 边界，边境 复寻 金沙江 ，极于牦徼外。钱谦益 《徐霞客传》 又如:徼人(边民);缴外(边界外;国外);徼亭(边境哨所);徼塞(边塞);徼障(边境;边塞)
枸,ju3,6,(1) 植物名，即蒌叶。胡椒科，藤本，近木质。叶互生，大而厚，卵状长圆形。浆果肉质，绿黄色，叶可入药。如:枸酱(即 “蒟酱” );枸橼(即 “香橼” )。枳枸，即拐枣 南山 有枸。
枸,gou3,0,(1) 〔枸杞〕落叶小灌木，叶披针形，结小浆果，成熟时红色，称“枸杞子”，可入药；根皮称“地骨皮”，亦可入药；茎叶嫩时可食。 (2) 〔枸骨〕常绿小乔木或灌木，叶长椭圆形有三、四个硬刺，开小白花，有香气，果实球形供观赏，叶入药。
唉,ai1,7,(1) (形声。从口，矣声。本义:表示答应) (2) 同本义 唉，应也。唉，予知之。。释文: “应声。” 勤唉厥生。 (3) 又如: “你一定要去呀!” “唉，我是要去的。” (4) 假借为诶。表示叹息 亚父 受玉斗，置之地，拔剑撞而破之，曰: “唉!竖子不足与谋”。。 (5) 又如: “唉!” 他又长长地叹了口气;唉!管不了他!
唉,ai4,7,(1) 表示伤感或惋惜。如:唉!他不小心摔伤了 (2) 表示同情。如:唉，他病得怪可怜的!
槛,jian4,6,(1) 槛车;囚车 槛，栊也。从木，监声。所以囚罪人之牢也。故囚车曰槛车。槛，牢也。今监狱字以监为之。槛，车上施栏，以格猛兽，亦囚禁罪人之车也。中尚书宦官槛塞大异。乃槛车与王诣 长安。。师古 曰:「槛车者，车而为槛形，谓以板四周之，无所通也。」 又如:槛车(四周设有栅栏的车。用以囚禁犯人或装载猛兽);槛送(用囚车押送);槛槛(车子行进时发出的声音) (2) 关牲畜野兽的栅栏 一曰圈也。谓所以閑兽。又如:槛羊(栅栏中的羊);槛緤(拴兽的绳索);槛兽(笼中之兽。喻失去自由者) (3) 栏杆的纵木 云 攀殿槛。 (4) 栏杆的横木 坐堂伏槛，临曲池些。 (5) 泛指栏杆 阁中帝子今何在?槛外长江空自流。王勃 《滕王阁序》 又如:槛屋(围有栏杆的房子);槛窗(有横直图案的格子窗);槛花笼鹤(栏杆里面的花、笼中的鸟。比喻受约束者) (6) 捕捉野兽的机具 毁坏槛宑。又如:槛阱(捕捉野兽的机具和陷坑) (7) 四方加板的船 (8) 通「滥」。浴盆 同槛而浴。
槛,jian4,10,(1) 以槛车关、载 槛送京师。 (2) 禁闭;拘囚 群王被囚槛之困，妃主有离绝之哀。
槛,kan3,6,(1) (形声。从木，监声。①( jiàn )本义:兽笼，囚笼。也指禁闭、拘囚。②( jiàn )栏杆。也指井栏。③门槛。门下的横木) 门槛。如:槛外人(槛:门坎)
龈,yin2,6,(1) 牙根肉，牙龈。围绕牙颈及覆盖上下颌牙槽的组织;泛指牙槽及其四周的软组织 琢齿依龈，三岁无君。 (2) 又如:龈龈(争辩的样子;欢笑的样子);龈齶(牙床和腭。比喻事物的根底)
切,qie1,6,(1) 通 “砌”。台阶 切皆铜沓黄金涂。
